p_val	avg_log2FC	pct.1	pct.2	p_val_adj
ZNF831	2.7598467315264e-10	0.414853420246611	0.266	0.149	1.01013150220598e-05
THEMIS	2.81233274232677e-10	0.25963813546984	0.105	0.031	1.02934190701902e-05
TNFSF14	2.86967734647702e-10	-0.368044808436934	0.288	0.429	1.05033060558405e-05
SNHG3	2.9027144800402e-10	0.285873157977116	0.166	0.071	1.06242252683951e-05
DEGS1	2.93452789179165e-10	-0.358645774418746	0.136	0.247	1.07406655367466e-05
MRPL14	3.05282717108058e-10	-0.294123764224928	0.251	0.379	1.1173652728872e-05
HNRNPA2B1	3.06686649792097e-10	-0.273476134710602	0.67	0.785	1.12250380690405e-05
RNF181	3.15296863858507e-10	-0.314614855665391	0.197	0.319	1.15401805140852e-05
SND1	3.1714646255852e-10	0.482763318492045	0.352	0.224	1.16078776761044e-05
RGCC	3.20518953499338e-10	-0.361489998197966	0.733	0.814	1.17313142170293e-05
PPP1R11	3.30180417018484e-10	-0.297767713234362	0.179	0.299	1.20849334432935e-05
DNAJA1	3.30729017365876e-10	-0.372541419809374	0.565	0.699	1.21050127646084e-05
MIF	3.35727579327596e-10	-0.335193861108148	0.598	0.722	1.22879651309693e-05
RSRP1	3.36173362429297e-10	0.431276969159913	0.614	0.516	1.23042812382747e-05
THAP2	3.37565128202912e-10	-0.354035445478104	0.1	0.201	1.23552212573548e-05
RABGAP1L	3.390376693155e-10	0.439186522523173	0.72	0.669	1.24091177346166e-05
EIF4H	3.46290900372975e-10	-0.340806746771034	0.216	0.336	1.26745932445513e-05
PIGV	3.50017827936844e-10	-0.273035837483319	0.081	0.181	1.28110025203164e-05
ZNF292	3.63325998149031e-10	0.466231224373443	0.514	0.405	1.32980948582527e-05
EZR	3.76023443576631e-10	-0.298850753223518	0.718	0.82	1.37628340583483e-05
CBFA2T2	3.90280987965672e-10	0.495040617530312	0.302	0.186	1.42846744405316e-05
NEIL1	4.08684641752484e-10	-0.253698254357084	0.072	0.166	1.49582665727827e-05
ENSA	4.18073350756088e-10	-0.276815945654054	0.467	0.609	1.53019027110236e-05
UBE2K	4.33274619789918e-10	0.456362569345938	0.521	0.402	1.58582843589308e-05
PICALM	4.43082681954239e-10	0.436488592133912	0.691	0.617	1.62172692422071e-05
ZYX	4.67819555645195e-10	-0.344127438733187	0.112	0.213	1.71226635561698e-05
PPDPF	4.75187198934524e-10	-0.297363404159567	0.568	0.703	1.73923266682025e-05
EIF3F	5.14917518474724e-10	-0.276308516112695	0.506	0.648	1.88464960936934e-05
XCL2	5.20345004326548e-10	-0.449135548253794	0.212	0.343	1.9045147503356e-05
NCOA2	5.25657242771404e-10	0.48232285350602	0.385	0.256	1.92395807426762e-05
ADRM1	5.28777275029791e-10	-0.34365839480077	0.249	0.374	1.93537770433654e-05
DSTYK	5.31258220046268e-10	0.356058182835765	0.168	0.074	1.94445821119135e-05
FHL3	5.43633145681781e-10	-0.270451416986913	0.077	0.172	1.98975167650989e-05
MSL2	5.79632675027987e-10	0.447684159219289	0.308	0.19	2.12151355386994e-05
CD300A	6.14029091881806e-10	-0.259761821101987	0.341	0.479	2.2474078791966e-05
COX6C	6.72848402275944e-10	-0.285705657418083	0.507	0.639	2.46269243717018e-05
ABCC1	6.91227213419504e-10	0.432207740471395	0.442	0.318	2.52996072383673e-05
BANF1	7.19065722486108e-10	-0.285906541224985	0.143	0.255	2.6318524508714e-05
NCK2	7.75915475390344e-10	0.371639882000622	0.322	0.2	2.8399282314762e-05
LMBR1	7.78569573043428e-10	0.454411825877517	0.358	0.239	2.84964249429625e-05
CEBPZ	7.99172248998209e-10	-0.350384778286279	0.19	0.308	2.92505034855834e-05
PRKCQ	8.425298932174e-10	0.49903023004299	0.622	0.526	3.083743662165e-05
SLC7A6	8.51605286185654e-10	0.38951001606297	0.373	0.244	3.11696050796811e-05
PKM	9.14069892617888e-10	-0.314823188032534	0.294	0.421	3.34558721397073e-05
APBB1IP	1.03096869520089e-09	0.401375265340059	0.719	0.654	3.77344852130478e-05
TNFRSF1A	1.0390047497736e-09	-0.301017896579511	0.104	0.204	3.80286128464634e-05
MBTD1	1.06356411334743e-09	0.433052073477046	0.266	0.156	3.89275101126294e-05
NR3C2	1.08148958404001e-09	0.259531661351416	0.102	0.031	3.95836002654483e-05
GAS7	1.10310599105741e-09	0.561661327467974	0.644	0.576	4.03747823786924e-05
TSPAN32	1.18398614201895e-09	-0.265821657956294	0.052	0.131	4.33350767840357e-05
RNF138	1.23672682929489e-09	0.350328728162836	0.237	0.128	4.52654386790224e-05
ARPC5L	1.23899069975301e-09	-0.301106821134848	0.383	0.527	4.53482986016601e-05
DDX6	1.31249174714002e-09	0.426299099908878	0.581	0.48	4.80385104370719e-05
RAB6A	1.31745580311567e-09	0.451544819151378	0.415	0.296	4.82201998498367e-05
MICOS10	1.36780130039186e-09	-0.304730427160698	0.244	0.37	5.00628953956424e-05
BTRC	1.39390340864589e-09	0.293103289071055	0.234	0.125	5.10182586598482e-05
RPS6KA3	1.39509672140675e-09	0.452746099936824	0.629	0.542	5.10619351002083e-05
FTX	1.48751564947397e-09	0.451806644440779	0.385	0.266	5.44445602863969e-05
SLA	1.51129702765238e-09	-0.295939547264143	0.407	0.547	5.53149825091047e-05
NAXE	1.53666012750401e-09	-0.269227653078186	0.068	0.154	5.62432973267743e-05
B3GNT7	1.55565310864536e-09	-0.286005050621383	0.102	0.202	5.69384594295288e-05
N4BP2L1	1.67971018114603e-09	-0.326132497454028	0.249	0.374	6.14790723401259e-05
FOXN3	1.71798319482827e-09	0.370104937367635	0.834	0.795	6.28799029139094e-05
EEF2	1.72925639277631e-09	-0.304406412480374	0.634	0.776	6.32925132320057e-05
AP3M2	1.7317842380769e-09	0.363330097298464	0.248	0.139	6.33850348978525e-05
ACOXL	1.78255245364278e-09	-0.33285174213366	0.051	0.13	6.52432023557795e-05
DNAJC1	1.83820351704144e-09	0.484856335461778	0.653	0.556	6.72800869272338e-05
ELF2	1.88022980525317e-09	0.445204737477179	0.52	0.415	6.88182911020713e-05
RPL23	1.90013279871974e-09	0.39572750325232	0.716	0.743	6.9546760565941e-05
RTN4	1.9592561286939e-09	0.446784507148104	0.478	0.358	7.17107335663255e-05
GOLGA7	1.97405048722512e-09	-0.29253456800179	0.188	0.305	7.22522218829266e-05
SMURF2	2.09040578208467e-09	0.520727788807856	0.488	0.386	7.6510942030081e-05
TNIP1	2.09945995256845e-09	-0.286733424834584	0.381	0.513	7.6842333723958e-05
ANKRD44	2.12004967708633e-09	0.408937881602617	0.659	0.578	7.75959382310367e-05
LRRC8D	2.15861537420175e-09	0.381336077038103	0.155	0.07	7.90074813111584e-05
RPS5	2.21115626051914e-09	0.269407464182673	0.937	0.973	8.0930530291261e-05
UBTF	2.29320491172696e-09	-0.340372463312724	0.13	0.231	8.39335929741184e-05
PDHA1	2.32823683501269e-09	-0.274458099674596	0.123	0.23	8.52157963982996e-05
F2R	2.34166550009395e-09	-0.257827514026782	0.103	0.202	8.57072989689387e-05
LRCH3	2.34176321289754e-09	0.461900858487524	0.498	0.398	8.57108753552627e-05
ERN1	2.35479434266314e-09	0.460041175907759	0.281	0.171	8.61878277358135e-05
GADD45A	2.40411231122748e-09	-0.334629629576098	0.08	0.171	8.79929147032372e-05
SYNE1	2.42997990389716e-09	-0.268925980140366	0.368	0.508	8.89396944625398e-05
NEDD8	2.60643403081668e-09	-0.294823400363451	0.285	0.414	9.53980919619214e-05
UBXN1	2.72163138945937e-09	-0.279713906061884	0.473	0.607	9.96144304856023e-05
HSPA8	2.72240018269997e-09	-0.336638813461187	0.643	0.765	9.96425690870015e-05
CYFIP2	2.72522709894774e-09	0.452150803900376	0.442	0.33	9.97460370485863e-05
SPSB3	2.75861982664274e-09	-0.257048093492468	0.173	0.286	0.000100968244274951
HK1	2.82025916022224e-09	0.280286641734743	0.147	0.062	0.000103224305523294
RBMS1	2.92763731333945e-09	0.437163880417551	0.57	0.475	0.000107154453305537
TOMM6	3.01732904805519e-09	-0.27929723498915	0.271	0.394	0.000110437260487868
TMEM123	3.15840363365872e-09	0.420861346822155	0.462	0.341	0.000115600731395543
TUBB	3.30235633738283e-09	-0.347980931136583	0.242	0.366	0.000120869544304549
STX4	3.5565299361666e-09	-0.288934333347966	0.098	0.193	0.000130172552193634
CRLF3	3.66321597345537e-09	0.435833080338831	0.316	0.202	0.00013407736784444
KPNA6	3.69859852560703e-09	0.421054770324282	0.341	0.227	0.000135372404635743
CLASP2	3.86581975553461e-09	0.457949424185373	0.54	0.431	0.000141492868872322
RALGAPB	4.0164256535688e-09	0.375776922713785	0.265	0.156	0.000147005195346272
SOD2	4.11846936732484e-09	0.367996820096436	0.287	0.173	0.000150740097313456
EXT1	4.27620134658445e-09	0.509434031475617	0.451	0.338	0.000156513245486337
BCL3	4.61125095862875e-09	-0.293061369996137	0.197	0.312	0.000168776396336771
VOPP1	4.615634185259e-09	-0.266544621104928	0.356	0.492	0.000168936826814665
COPS9	4.62502800260522e-09	-0.272630221194496	0.309	0.432	0.000169280649923353
RAB11A	4.69175153024591e-09	0.478030696802963	0.482	0.388	0.00017172279775853
SETD2	4.73874121194213e-09	0.417072515992878	0.589	0.497	0.000173442667098294
PHACTR4	4.75476451808418e-09	0.465579784509589	0.346	0.23	0.000174029136126399
UBE2D2	4.93722799588773e-09	0.447306010422929	0.564	0.492	0.000180707481877487
ATP5MC2	5.17982013798844e-09	-0.275936868358812	0.593	0.717	0.000189586596870515
CDC37	5.23675890666292e-09	-0.318666983910067	0.324	0.45	0.000191670612742769
RASSF3	5.29214781805212e-09	0.443204079376169	0.541	0.431	0.000193697902288526
SOS1	5.92555027444153e-09	0.46679164355052	0.46	0.347	0.000216881065594834
TAF15	6.2041044175374e-09	0.410945406323678	0.47	0.351	0.000227076425786286
PSMB8	6.35823616746737e-09	-0.265129905812279	0.268	0.392	0.000232717801965473
PRKX	6.36487440025097e-09	0.432165741529246	0.648	0.558	0.000232960767923586
CCDC91	6.36487985452109e-09	0.484193527674009	0.416	0.308	0.000232960967555327
ILF2	6.4094406370576e-09	-0.267245317334054	0.299	0.423	0.000234591936756945
ILK	6.48337184567213e-09	-0.258946004509079	0.18	0.296	0.000237297892923446
CTDSP1	6.53410788739064e-09	-0.293437052811258	0.131	0.231	0.000239154882786385
ZNF44	6.59420991852521e-09	0.402315565565075	0.272	0.165	0.000241354677227941
AGO3	6.79751855784828e-09	0.435034003749968	0.508	0.404	0.000248795976735805
PPP1R15A	7.00791702296034e-09	-0.448906637417197	0.383	0.503	0.000256496770957371
TSC22D3	7.0546293066174e-09	-0.419552648410209	0.741	0.842	0.000258206487251504
NDUFB3	7.1962872294039e-09	-0.284468159122943	0.086	0.173	0.000263391308883412
CYTH3	7.31448987117054e-09	0.443850351350895	0.286	0.175	0.000267717643774713
TAF10	7.53605558519921e-09	-0.281102367995145	0.249	0.37	0.000275827170473876
HECA	7.73233985528702e-09	0.388300651640391	0.373	0.255	0.00028301137104336
MEX3C	7.80743549002643e-09	-0.267278704295499	0.101	0.193	0.000285759946370457
SRP9	8.1520210075844e-09	-0.25898106440268	0.215	0.334	0.000298372120898597
TASOR2	8.1698846215561e-09	0.422927006962223	0.428	0.313	0.000299025947033575
OSBPL5	8.33727891549422e-09	-0.285331482069977	0.089	0.18	0.000305152745586004
BCL7B	8.38471841512469e-09	-0.273250229486817	0.157	0.263	0.000306889078711979
RBM3	8.60871463335724e-09	-0.289908888546486	0.482	0.6	0.000315087564295508
PRELID1	9.1931044475467e-09	-0.293261688796175	0.38	0.508	0.000336476815884657
FNBP1	9.69279383237555e-09	0.364773656753134	0.845	0.831	0.000354765947058778
NAPA	9.70303210825803e-09	-0.251903928801216	0.285	0.405	0.000355140678194352
POLR1D	9.79007183435285e-09	-0.266654914739742	0.281	0.407	0.000358326419209149
MFSD10	1.13052380088163e-08	-0.291598278841363	0.108	0.203	0.000413783016360684
BICRAL	1.35879225795814e-08	0.423516878420536	0.347	0.232	0.00049733155433526
NAP1L1	1.38045666540873e-08	0.369393299803393	0.612	0.524	0.000505260944106249
ZNF706	1.39564152101038e-08	-0.296098347386633	0.307	0.424	0.00051081875310501
GOLM1	1.47045690623826e-08	-0.274741262223693	0.041	0.109	0.000538201932252267
ARF4	1.53378548801681e-08	-0.274063834763913	0.442	0.571	0.000561380826469031
TMCO1	1.56908541537551e-08	-0.280808320584319	0.196	0.304	0.000574300952881591
RBX1	1.60009085183753e-08	-0.280608873109383	0.38	0.499	0.000585649252681055
OSTF1	1.62107576940654e-08	-0.28065910764867	0.41	0.531	0.000593329942360488
GPR108	1.62443993699887e-08	-0.265824864966604	0.078	0.162	0.000594561261340955
CD320	1.6657040689927e-08	-0.251473212899177	0.079	0.163	0.000609664346292019
EMC7	1.68171113020474e-08	-0.26911318055984	0.215	0.327	0.000615523090766237
ARIH1	1.72573787350452e-08	0.406581465696863	0.612	0.529	0.00063163731908139
AL118516.1	1.7594457227186e-08	-0.271565344985599	0.101	0.193	0.000643974728972233
TAOK1	1.83182028301695e-08	0.417033739049068	0.389	0.274	0.000670464541787034
PRRC2B	1.86233282330646e-08	0.409572243583114	0.423	0.31	0.000681632436658397
ARHGEF1	1.86975865988355e-08	-0.251787869090087	0.328	0.443	0.000684350367103978
ANKRD11	2.00661917548073e-08	0.37495368500658	0.649	0.591	0.000734442684417703
PREX1	2.06858382226765e-08	-0.281948507605859	0.527	0.65	0.000757122364788183
PELI1	2.0909874371633e-08	0.417225676217493	0.331	0.221	0.000765322311876139
LAMTOR1	2.12439703041757e-08	-0.305426448856306	0.145	0.244	0.000777550557103134
CSNK1G1	2.20541632488351e-08	0.362770856104034	0.261	0.157	0.000807204429070612
CD2	2.22538941612605e-08	-0.375588547210294	0.377	0.477	0.000814514780196295
RBL1	2.32883595967064e-08	0.307734321160396	0.169	0.083	0.00085237724959905
GAS5	2.39987750350269e-08	0.370160915715352	0.447	0.346	0.000878379165057021
DIPK1A	2.55440133088323e-08	0.531100429990256	0.362	0.255	0.00093493643111657
CAPNS1	2.58020923092931e-08	-0.273590069841245	0.213	0.325	0.000944382380612436
KDM2A	2.66208873720403e-08	0.417877177280083	0.569	0.49	0.000974351098704048
CDKAL1	2.79532748144601e-08	0.437060497423899	0.427	0.33	0.00102311781148405
ANKIB1	2.84993144723314e-08	0.406499030715121	0.346	0.24	0.0010431034090018
ATP6V1F	2.8730461691606e-08	-0.277733743833079	0.253	0.366	0.00105156362837447
RREB1	2.88178660798085e-08	0.284120053961276	0.168	0.081	0.00105476271638707
GSPT1	2.91660317040761e-08	0.413488943388525	0.432	0.325	0.00106750592640089
TNIK	2.99853292080097e-08	0.425289443507294	0.589	0.506	0.00109749303434236
RPL22	3.04049277028932e-08	0.279123439379608	0.872	0.921	0.00111285075885359
ATP2B1	3.18429561229335e-08	0.395337888846834	0.585	0.494	0.00116548403705549
CD164	3.43749699412737e-08	-0.268311539375252	0.36	0.485	0.00125815827482056
ANTXR2	3.45204309304982e-08	0.366008667142215	0.22	0.127	0.00126348229248717
APLP2	3.52434264690955e-08	-0.26002964121159	0.24	0.356	0.00128994465219537
FAM214A	3.55408096068212e-08	0.356094982576873	0.36	0.246	0.00130082917241926
HIGD2A	3.56129809257481e-08	-0.256122066511431	0.302	0.42	0.0013034707148633
KDM7A	3.57771308556705e-08	0.432008395127111	0.447	0.346	0.0013094787664484
ADAMTSL4-AS1	3.61392201752936e-08	0.509183064687305	0.456	0.354	0.00132273159763592
AC068724.3	3.72009123831026e-08	0.293087174981214	0.18	0.091	0.00136159059413394
PRSS23	3.88222677867052e-08	-0.272283906234633	0.169	0.277	0.0014209338232612
RALGAPA1	3.9833573450083e-08	0.317234962786484	0.911	0.877	0.00145794862184649
KAT5	4.18407623646033e-08	-0.259892375772029	0.088	0.171	0.00153141374330685
TRPM7	4.42263519976987e-08	0.40412632509423	0.503	0.4	0.00161872870946777
BRD4	4.51567440327221e-08	0.378108430163854	0.498	0.392	0.00165278198834166
TNFRSF14	4.56218073361122e-08	-0.254207064427942	0.151	0.253	0.00166980377030904
TBCB	4.75482813618891e-08	-0.26943505875037	0.18	0.284	0.0017403146461265
RASGRF2	4.8985560873938e-08	0.295806416331429	0.112	0.044	0.001792920513547
PRR13	4.89944330212136e-08	-0.258586833274434	0.251	0.363	0.00179324524300944
BCL2L11	5.26027771833606e-08	-0.271929196806986	0.09	0.173	0.00192531424768818
SEPTIN1	5.30233054616796e-08	-0.306801883044956	0.199	0.302	0.00194070600320293
TFCP2	5.34129754730211e-08	0.38565349741042	0.286	0.184	0.00195496831528804
PCAT1	5.51952898454753e-08	0.33300507796474	0.127	0.055	0.00202020280363424
FAM222B	5.55047264621894e-08	0.384350610413763	0.324	0.21	0.00203152849324259
KRAS	5.7039201880927e-08	0.389825602371907	0.377	0.262	0.00208769182804381
LAMTOR4	5.78178676854365e-08	-0.262812880517441	0.247	0.356	0.00211619177515466
CUL3	5.87295608339044e-08	0.388356551720617	0.562	0.466	0.00214956065608174
RAPGEF1	5.89209168286289e-08	0.421482595792207	0.634	0.572	0.00215656447684464
PLCG2	6.05474104732313e-08	-0.349683179375391	0.208	0.316	0.00221609577073074
VASP	6.26902580389571e-08	-0.295144279951707	0.243	0.351	0.00229452613448387
TAB2	6.3495498269429e-08	0.445603967048596	0.553	0.465	0.00232399873215937
AP2M1	6.52981905516427e-08	-0.295498677788994	0.214	0.314	0.00238997907238068
PATJ	6.63278435232122e-08	0.252764849827038	0.135	0.061	0.00242766540079309
REL	7.0431145746563e-08	-0.25043128809113	0.737	0.826	0.00257785036546995
PEF1	7.5156614692608e-08	-0.252910119455149	0.106	0.193	0.00275080725436415
TMEM258	7.95963122117464e-08	-0.276986699854214	0.309	0.421	0.00291330462326213
RABEP1	7.99653064657403e-08	0.421226705841536	0.485	0.382	0.00292681018195256
TNRC6C	8.61077456704168e-08	0.41997823055635	0.499	0.405	0.00315162959928292
ATXN2	8.83369050378512e-08	0.411294097003296	0.356	0.25	0.00323321906129039
PPM1B	9.28597425697239e-08	0.38986531130132	0.43	0.316	0.00339875943779446
CLEC2B	9.65830332057804e-08	-0.251700260091792	0.678	0.785	0.00353503559836477
CARD16	9.92525995541337e-08	-0.254255139277813	0.128	0.22	0.00363274439628085
SRSF9	1.00945494239023e-07	-0.256631611341684	0.313	0.426	0.00369470603464249
PCED1B	1.0150452389132e-07	0.394098811234559	0.388	0.279	0.00371516707894621
JUNB	1.05237943122531e-07	-0.441240828158696	0.519	0.616	0.00385181395622776
C1orf162	1.06294673993927e-07	-0.291520643157675	0.138	0.229	0.00389049136285174
BCAS3	1.10486837537135e-07	0.432207360420858	0.42	0.309	0.00404392874069669
GNAI2	1.10496016969526e-07	-0.254545898899688	0.415	0.539	0.00404426471710161
BID	1.13519704189774e-07	-0.255199628953211	0.322	0.44	0.00415493469304993
RNF111	1.13851050947527e-07	0.3730376751359	0.35	0.245	0.00416706231573044
LMBRD1	1.16181605206294e-07	0.326297431696201	0.35	0.235	0.00425236293215557
LSM14A	1.1680165533325e-07	0.37237562225223	0.577	0.502	0.00427505738685227
CARD11	1.19881031595352e-07	0.338173709627327	0.747	0.692	0.00438776563742146
PSTPIP2	1.21973340700057e-07	-0.306916480985077	0.091	0.171	0.00446434624296279
PLIN2	1.22368635242963e-07	-0.278058713589375	0.128	0.219	0.00447881441852769
CRTC3	1.26350093411809e-07	0.377457108670639	0.269	0.172	0.00462453976896563
EIF3I	1.28506117333969e-07	-0.259046216993604	0.274	0.383	0.00470345240054058
SMYD3	1.35229339675464e-07	0.462302484991292	0.514	0.41	0.00494952906146164
ZNF506	1.42740350404996e-07	0.288552904905141	0.251	0.15	0.00522443956517327
RORA	1.52902252242191e-07	0.410735888640576	0.659	0.607	0.00559637533431641
STAT3	1.54480845358649e-07	0.363352737914072	0.536	0.437	0.00565415342097192
ARL4A	1.55040190467859e-07	-0.296867485197087	0.182	0.281	0.00567462601131412
HIVEP2	1.55084847284376e-07	0.315210219861221	0.7	0.664	0.00567626049545544
SMARCC1	1.57016052279504e-07	0.366065118297261	0.463	0.363	0.00574694452948212
ZFP36L2	1.57717783721023e-07	0.299175660608217	0.715	0.655	0.00577262860197318
OSBPL8	1.62987166765092e-07	0.341311322914574	0.733	0.682	0.00596549329076914
FOXN2	1.63945753123443e-07	0.363413850463148	0.256	0.158	0.00600057851007114
AP001011.1	1.6443589268708e-07	0.2766235603658	0.132	0.061	0.0060185181082398
RFX2	1.65262447679189e-07	0.413500098300286	0.289	0.192	0.00604877084750601
ADD3	1.72903385898017e-07	0.371437374611946	0.393	0.287	0.00632843682725331
HECTD1	1.73926664407853e-07	0.483318539913232	0.426	0.331	0.00636588984399182
STMP1	1.75201898042315e-07	-0.267831883722191	0.148	0.239	0.00641256467024678
ACAP1	1.78114015014363e-07	-0.256535229371785	0.257	0.364	0.0065191510635407
STAM	1.7891570735204e-07	0.331486634676937	0.283	0.181	0.006548493804792
GALM	1.82251213604886e-07	0.297373215902822	0.178	0.095	0.00667057666915242
NUMB	1.85075453686047e-07	0.449527265210016	0.323	0.223	0.00677394668036299
IDS	1.86300615082154e-07	-0.274988203794334	0.625	0.731	0.00681878881262194
SNHG8	1.89152322054063e-07	-0.283601444220615	0.293	0.395	0.00692316413950075
SENP7	1.90857333019941e-07	0.270653350080985	0.213	0.121	0.00698556924586286
RPLP0	1.97856417254564e-07	0.284760402688542	0.771	0.802	0.00724174272793431
KLHL21	2.0253314817149e-07	-0.274679067470374	0.071	0.143	0.00741291575622471
PHC3	2.03206639764681e-07	0.391993575760958	0.392	0.29	0.00743756622202707
NSD3	2.06782297295861e-07	0.410550433759663	0.498	0.405	0.00756843886332582
FBXW7	2.11082636325981e-07	0.417358095690378	0.555	0.473	0.00772583557216721
IFFO2	2.14084801632491e-07	-0.273007770707394	0.183	0.279	0.00783571782455079
ARID2	2.15400037879293e-07	0.383586829092441	0.539	0.448	0.00788385678642001
VAMP2	2.1901224762667e-07	0.383585212714145	0.453	0.356	0.00801606727538375
USP34	2.51850510296913e-07	0.354135628301128	0.563	0.476	0.00921798052737732
KMT2E	2.52817744013694e-07	0.279997499285912	0.876	0.829	0.00925338224864521
NT5C2	2.70613729755716e-07	0.381999225929891	0.289	0.191	0.00990473312278895
CALR	2.74931033317644e-07	-0.305778209968479	0.468	0.574	0.0100627507504591
PLEKHA2	2.76645545546851e-07	0.406745951357859	0.548	0.473	0.0101255036125603
WWOX	2.80024430333481e-07	0.562588349615884	0.37	0.27	0.0102491741746357
SEC23A	2.82198595843394e-07	0.28051047851853	0.208	0.12	0.0103287508064641
PPP1CA	2.9020400152693e-07	-0.263456492492817	0.277	0.386	0.0106217566598872
DOCK9	2.95599710761901e-07	0.353763000013791	0.443	0.33	0.0108192450135964
MLLT10	2.98272304513706e-07	0.278623970330443	0.176	0.095	0.0109170646175061
UBE2R2	3.03193303930826e-07	0.406059360008955	0.492	0.393	0.0110971781171722
FAM43A	3.17211757637787e-07	-0.253913121816225	0.191	0.297	0.0116102675413007
TRDC	3.24417975742048e-07	-0.284373237104701	0.202	0.304	0.0118740223301347
STRN3	3.39644450009649e-07	0.348935154130069	0.243	0.15	0.0124313265148032
PIK3C2A	3.4840393084642e-07	0.433327938514392	0.307	0.212	0.0127519322729098
BUD31	3.50013695119036e-07	-0.266253212059975	0.396	0.497	0.0128108512550518
SORL1	3.61662172809303e-07	0.342524780125803	0.582	0.499	0.0132371971869933
UBE3C	3.64218812625766e-07	0.358668278448682	0.313	0.211	0.0133307727609157
EIF4G3	3.69401969381003e-07	0.433746948609915	0.473	0.385	0.0135204814813141
PMAIP1	3.91280777867877e-07	-0.34578805074502	0.27	0.378	0.0143212677507422
CYTH1	3.99309601102982e-07	0.345263580178894	0.617	0.575	0.0146151307099702
CEMIP2	4.02697503764689e-07	0.432871642498416	0.516	0.419	0.0147391313352914
EHD4	4.032958601669e-07	-0.254822020858661	0.18	0.274	0.0147610317779687
GLA	4.11628548272606e-07	-0.326824799676329	0.138	0.226	0.0150660164953256
SFMBT1	4.42118997330312e-07	0.354577502156254	0.231	0.144	0.0161819974212867
CCNY	4.63668407030984e-07	0.398244323176279	0.535	0.447	0.016970727365741
MCUB	5.10020435789954e-07	0.44057300673111	0.486	0.411	0.0186672579703481
KDELR2	5.28516241190743e-07	-0.263107296982374	0.158	0.248	0.0193442229438224
TAF3	5.36393048127132e-07	0.371718362569069	0.409	0.311	0.0196325219545012
CHD2	5.42165105002563e-07	0.346666898008805	0.688	0.67	0.0198437850081988
DTHD1	5.45850418308648e-07	-0.253273890960563	0.309	0.421	0.0199786711605148
TAF4B	5.5353858839317e-07	0.251400260381973	0.134	0.065	0.0202600658737784
ARID5A	5.71284578745125e-07	-0.252786279667756	0.466	0.575	0.0209095868666503
BTG2	6.06507940713517e-07	-0.354334020291647	0.331	0.438	0.0221987971380554
GPS2	6.06821899994035e-07	-0.267782032693519	0.286	0.384	0.0222102883616817
KLF12	6.08813561904528e-07	0.409453991422416	0.564	0.476	0.0222831851792676
SMIM26	6.27563452664292e-07	-0.251089521837857	0.204	0.299	0.0229694499309658
KLHL24	6.27977929817438e-07	0.326291648983573	0.413	0.305	0.0229846202092481
GAB2	6.44266233884011e-07	0.400636375354145	0.204	0.122	0.0235807884263887
SLMAP	6.46166070998673e-07	0.406518386336843	0.462	0.369	0.0236503243646224
MAP4	6.62701836939351e-07	0.43103442746895	0.256	0.167	0.0242555499338172
SLFN5	6.62895538063051e-07	-0.279113581123712	0.329	0.429	0.0242626395886457
ITCH	6.71728941058136e-07	0.343243706998412	0.666	0.609	0.0245859509716688
CALM3	6.87904223554934e-07	-0.277358980057648	0.206	0.3	0.0251779824863341
SLC3A2	6.95448229844564e-07	-0.256966734435042	0.27	0.371	0.0254541006605409
HS2ST1	6.9740219072173e-07	0.309278886360632	0.172	0.094	0.0255256175826061
MXD1	7.1860891927874e-07	-0.271494151820543	0.211	0.306	0.0263018050545211
MAN1A1	7.51783778270895e-07	0.447938651584823	0.292	0.199	0.027516038068493
PTBP2	7.64965056333242e-07	0.405372194627953	0.348	0.262	0.027998486026853
CDR2	8.06556739715164e-07	0.308938030390037	0.244	0.155	0.0295207832303147
ZNF148	8.1059226007639e-07	0.379902680204755	0.468	0.376	0.0296684873110559
PLP2	8.37803117646178e-07	-0.292616523738814	0.243	0.332	0.0306644319089678
MAML2	8.6857678203363e-07	0.506956388587667	0.526	0.46	0.0317907787992129
PCSK7	8.71153520697216e-07	0.371677051979022	0.351	0.257	0.0318850900110388
VEZT	8.74837313595659e-07	0.295551045917148	0.216	0.131	0.0320199205149147
S1PR1	8.7588915334395e-07	0.293979133139094	0.245	0.152	0.0320584189015419
GLCCI1	9.27828430890729e-07	0.481749264338672	0.561	0.486	0.0339594483990316
MBD2	9.52426148314671e-07	0.348473723256467	0.238	0.149	0.0348597494544653
KDM3B	9.65651939089081e-07	0.281348080160457	0.233	0.144	0.0353438266225995
RBKS	9.96565900414808e-07	-0.309431638247103	0.057	0.119	0.0364753085210824
TBL1XR1	1.0026227515985e-06	0.399462044606306	0.56	0.475	0.0366969953312567
KIAA1109	1.01924480922315e-06	0.328400369429128	0.247	0.156	0.0373053792623764
EPS15	1.0380105716634e-06	0.406541709185338	0.431	0.336	0.0379922249334521
KDM4C	1.06687040700682e-06	0.367716223089877	0.501	0.406	0.0390485237668565
SIPA1	1.10124871426359e-06	-0.269468552938246	0.177	0.27	0.0403068041907618
TCP11L2	1.15479803224347e-06	0.271310598102257	0.259	0.164	0.0422667627781432
WWP2	1.15557958874921e-06	0.378209746174627	0.286	0.195	0.0422953685278097
RUNX1	1.17316181191655e-06	0.343150025060215	0.667	0.613	0.0429388954779577
NUP153	1.1896133856285e-06	0.363609522148067	0.429	0.337	0.0435410395273889
